ID SPPG	Nama SPPG VALID	AREA	AREA CONFIRMED	Prioritas Installasi (P1/P2/P3)
4KKERUJF	SPPG MEKARSARI, PAGELARAN #002	BANDUNG	CJR	P3
GHFBVHMX	SPPG BUNIWANGI, PAGELARAN	BANDUNG	CJR	P3
IMBCOECS	SPPG PARAKANTUGU, CIJATI #002	BANDUNG	CJR	P3
OJODRKJD	SPPG GANDASARI, KADUPANDAK #001	BANDUNG	CJR	P3
QKDQMOZJ	SPPG CISALAK, CIDAUN #002	BANDUNG	CJR	P3
TFEMIBDX	SPPG BOJONGKASO, AGRABINTA #003	BANDUNG	CJR	P3
UE1863ZD	SPPG KERTASARI, SINDANGBARANG #001	BANDUNG	CJR	P3
ZWCELHUA	SPPG PARAKANTUGU, CIJATI #001	BANDUNG	CJR	P3
CD0DWLRE	SPPG CIBEUREUM, KERTASARI #001	BANDUNG	MJY	P3
FNZVLWTK	SPPG CITAMAN, NAGREG #002	BANDUNG	CCL	P2
041BO44R	SPPG PAMULIHAN, PAMULIHAN #001	BANDUNG	SMD	P2
0VBU0TIN	SPPG TANJUNGSARI, TANJUNGSARI #001	BANDUNG	TAS	P1
1SKCJXMV	SPPG CIGENDEL, PAMULIHAN #001	BANDUNG	SMD	P1
2RTSDLVC	SPPG JATISARI, TANJUNGSARI	BANDUNG	TAS	P1
63FNBCSB	SPPG GUNUNG MANIK, TANJUNGSARI #001	BANDUNG	TAS	P3
6XAODDWO	SPPG CIPAMEKAR, CONGGEANG	BANDUNG	SMD	P3
AMPYRLXW	SPPG TANJUNGSARI, TANJUNGSARI #003	BANDUNG	TAS	P1
AYVSGOPN	SPPG KOTA KULON , SUMEDANG SELATAN #006	BANDUNG	SMD	P1
BDZOUDLN	SPPG RANCAMULYA, SUMEDANG UTARA #001	BANDUNG	SMD	
C4RGIIVS	SPPG KOTA KULON , SUMEDANG SELATAN #004	BANDUNG	SMD	P1
CMKCXRTU	SPPG JATIMEKAR, SITURAJA #001	BANDUNG	SMD	P3
D6NPEDZT	SPPG CISURAT, WADO #003	BANDUNG	TASIKMALAYA	
EOEYIQMG	SPPG CIKAHURIPAN, CIMANGGUNG #002	BANDUNG	RCK	P2
G30GXX0G	SPPG CIKAREO SELATAN, WADO	BANDUNG	TASIKMALAYA	
